Attribute,Keyword Value,Syntax,Type,Reference
epcl-version-supported,,1setOf type2 keyword,,[RFC8011]
epcl-version-supported,1.0,1setOf type2 keyword,,[RFC8011]
marker-types,,1setOf type2 keyword,,[RFC8011]
marker-types,toner,1setOf type2 keyword,,[RFC8011]
marker-types,waste-toner,1setOf type2 keyword,,[RFC8011]
marker-types,ink,1setOf type2 keyword,,[RFC8011]
marker-types,ink-cartridge,1setOf type2 keyword,,[RFC8011]
marker-types,ink-ribbon,1setOf type2 keyword,,[RFC8011]
marker-types,waste-ink,1setOf type2 keyword,,[RFC8011]
marker-types,opc,1setOf type2 keyword,,[RFC8011]
marker-types,developer,1setOf type2 keyword,,[RFC8011]
marker-types,fuser-oil,1setOf type2 keyword,,[RFC8011]
marker-types,solid-wax,1setOf type2 keyword,,[RFC8011]
marker-types,ribbon-wax,1setOf type2 keyword,,[RFC8011]
marker-types,waste-wax,1setOf type2 keyword,,[RFC8011]
marker-types,fuser,1setOf type2 keyword,,[RFC8011]
marker-types,corona-wire,1setOf type2 keyword,,[RFC8011]
marker-types,fuser-oil-wick,1setOf type2 keyword,,[RFC8011]
marker-types,cleaner-unit,1setOf type2 keyword,,[RFC8011]
marker-types,fuser-cleaning-pad,1setOf type2 keyword,,[RFC8011]
marker-types,transfer-unit,1setOf type2 keyword,,[RFC8011]
marker-types,toner-cartridge,1setOf type2 keyword,,[RFC8011]
marker-types,fuser-oiler,1setOf type2 keyword,,[RFC8011]
marker-types,water,1setOf type2 keyword,,[RFC8011]
marker-types,waste-water,1setOf type2 keyword,,[RFC8011]
marker-types,binding-supply,1setOf type2 keyword,,[RFC8011]
marker-types,banding-supply,1setOf type2 keyword,,[RFC8011]
marker-types,stiching-wire,1setOf type2 keyword,,[RFC8011]
marker-types,shrink-wrap,1setOf type2 keyword,,[RFC8011]
marker-types,paper-wrap,1setOf type2 keyword,,[RFC8011]
marker-types,staples,1setOf type2 keyword,,[RFC8011]
marker-types,inserts,1setOf type2 keyword,,[RFC8011]
marker-types,covers,1setOf type2 keyword,,[RFC8011]
pclm-compression-method-preferred,,1setOf type2 keyword,,[RFC8011]
pclm-compression-method-preferred,"<Any ""compression"" value>",1setOf type2 keyword,,[RFC8011]
output-device-document-state-reasons,,1setOf type2 keyword,,[PWG5100.18]
output-device-document-state-reasons,"<Any ""document-state-reasons"" value>",1setOf type2 keyword,,[PWG5100.18]
output-device-job-state-reasons,,1setOf type2 keyword,,[PWG5100.18]
output-device-job-state-reasons,"<Any ""job-state-reasons"" value>",1setOf type2 keyword,,[PWG5100.18]
material-key,,keyword,,[PWG5100.21]
material-key,generic-pla,keyword,,[PWG5100.21]
materials-col,,keyword,,[PWG5100.21]
materials-col,material-amount,keyword,,[PWG5100.21]
materials-col,material-amount-units,keyword,,[PWG5100.21]
materials-col,material-color,keyword,,[PWG5100.21]
materials-col,material-diameter,keyword,,[PWG5100.21]
materials-col,material-diameter-tolerance,keyword,,[PWG5100.21]
materials-col,material-fill-density,keyword,,[PWG5100.21]
materials-col,material-key,keyword,,[PWG5100.21]
materials-col,material-name,keyword,,[PWG5100.21]
materials-col,material-nozzle-diameter,keyword,,[PWG5100.21]
materials-col,material-purpose,keyword,,[PWG5100.21]
materials-col,material-rate,keyword,,[PWG5100.21]
materials-col,material-rate-units,keyword,,[PWG5100.21]
materials-col,material-retraction,keyword,,[PWG5100.21]
materials-col,material-shell-thickness,keyword,,[PWG5100.21]
materials-col,material-temperature,keyword,,[PWG5100.21]
materials-col,material-type,keyword,,[PWG5100.21]
repertoire-supported,,1setOf (keyword | name),,[PWG5101.2]
repertoire-supported,"<Any ""job-password-repertoire-supported"" value>",1setOf type2 keyword,,[PWG5101.2]
